"Ingredient ID",11357,15016,9152,4517,2054,11941,11677,2008,2046,11297,11156,20082,20081,14003,1125,4053
"Ingredient Description","Potatoes, white, flesh and skin, baked","Fish, cod, Atlantic, cooked, dry heat","Lemon juice, raw","Oil, grapeseed","Capers, canned","Pickles, cucumber, sour","Shallots, raw","Spices, chervil, dried","Mustard, prepared, yellow","Parsley, fresh","Chives, raw","Wheat flour, white, all-purpose, self-rising, enriched","Wheat flour, white, all-purpose, enriched, bleached","Alcoholic beverage, beer, regular, all","Egg, yolk, raw, fresh","Oil, olive, salad or cooking"
"Portion size","100g","100g","lemon yields","tablespoon","tbsp, drained","100g","100g","tbsp","tsp or 1 packet","tbsp","tbsp chopped","100g","100g","100g","100g","tablespoon"
"Quantity",16,9.6,1,10,2,0.45,0.25,1,2,1,1,1.25,1.25,3.75,0.36,12
"18:2 n-6 c,c",0,0,0.00576,0,0,0,0,0,0.0435,0,0,0,0,0,0,0,0.04926
"8:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032399999999999994,0.0,0.0032399999999999994
"15:0",0,0,0.00048,0,0,0,0,0,0.0002,0,0,0,0,0,0.004679999999999999,0,0.005359999999999999
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"15:1",0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
"Folate, food",608.0,76.8,9.6,0.0,3.9559999999999995,0.45,8.5,5.206,0.7,5.776,3.15,47.5,36.25,22.5,52.55999999999999,0.0,880.948
"18:3 undifferentiated",0.144,0.0096,0.004319999999999999,0.136,0.031476,0.0207,0.0005,0.0,0.0458,0.000304,0.00045,0.027499999999999997,0.027499999999999997,0.0,0.037079999999999995,1.23282,1.7180499999999999
"Carbohydrate, by difference",337.28,0.0,3.3120000000000003,0.0,0.8410799999999999,1.017,4.2,0.9329,0.5329999999999999,0.24053999999999998,0.13049999999999998,92.775,95.3875,13.3125,1.2924,0.0,551.2544200000001
"Serine",1.216,8.9472,0,0.0,0,0.0045000000000000005,0.02825,0,0.021099999999999997,0.005168000000000001,0.0044399999999999995,0.6174999999999999,0.645,0.0,0.47736000000000006,0.0,11.966518
