"Ingredient ID",13869,6112,12029,4053,11283,11263,11091,4058,20445
"Ingredient Description","Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised","Sauce, teriyaki, ready-to-serve","Seeds, sesame seed kernels, toasted, without salt added (decorticated)","Oil, olive, salad or cooking","Onions, cooked, boiled, drained, without salt","Mushrooms, white, stir-fried","Broccoli, cooked, boiled, drained, without salt","Oil, sesame, salad or cooking","Rice, white, long-grain, regular, cooked, unenriched, without salt"
"Portion size","100g","cup","cup","tablespoon","medium","100g","100g","tsp","cup"
"Quantity",7.5,0.5,0.09375,1,1,2.5,3,2,3
"8:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"15:0",0,0,0,0,0,0.0,0.0,0,0,0.0
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"15:1",0,0,0,0,0,0.0,0.0,0,0,0.0
"Folate, food",75.0,11.52,11.52,0.0,14.1,50.0,324.0,0.0,14.22,500.36
"18:3 undifferentiated",0.855,0.0,0.04356,0.102735,0.00376,0.0,0.357,0.026999999999999996,0.06162,1.450675
"Carbohydrate, by difference",0.0,22.406399999999998,3.1248,0.0,9.541,10.1,21.54,0.0,133.5258,200.238
"Serine",9.675,0,0.11100000000000002,0.0,0.0376,0.255,0.387,0.0,0.6683399999999999,11.133940000000003
"Glutamic acid",36.885,0,0.45384,0.0,0.20679999999999998,0.9275,1.6470000000000002,0.0,2.48376,42.603899999999996
"Sodium, Na",322.5,5519.52,4.68,0.27,2.82,30.0,123.0,0.0,4.74,6007.530000000001
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
"Phosphorus, P",1530.0,221.76,92.88,0.0,32.9,262.5,201.0,0.0,203.82,2544.86
"Tocotrienol, gamma",0,0,0,0,0,0.0,0.0,0,0,0.0
"Fluoride, F",168.0,0,0,0,0,0,12.0,0,0,180.0
"Histidine",7.8450000000000015,0,0.059879999999999996,0.0,0.02068,0.1525,0.18899999999999997,0.0,0.29862,8.56568
"4:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:0",9.6975,0.0,0.24228000000000002,0.26365500000000003,0.00188,0.025,0.039,0.43199999999999994,0.023700000000000002,10.725014999999999
"Theobromine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Potassium, K",1995.0,324.0,48.72,0.135,156.04,990.0,879.0,0.0,165.9,4558.795
"Vitamin E (alpha-tocopherol)",3.5999999999999996,0.0,0.03,1.93725,0.0188,0.0,4.35,0.126,0.18960000000000002,10.251649999999998
"Lutein + zeaxanthin",0.0,0.0,0.0,0.0,3.76,0.0,3240.0,0.0,0.0,3243.76
"Betaine",122.99999999999999,0,0,0.013500000000000002,0,23.75,0.30000000000000004,0,0,147.06349999999998
"Riboflavin",1.305,0.10080000000000001,0.055920000000000004,0.0,0.02162,1.1575,0.369,0.0,0.06162,3.0714599999999996
"Sucrose",0,0,0,0,1.034,0.0,0.24,0,0,1.274
"Maltose",0,0,0,0,0.0,0.0,0.0,0,0,0.0
"Cholesterol",750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0
"Vitamin D2 (ergocalciferol)",0,0,0,0,0,0.5,0,0,0,0.5
"Folate, total",75.0,11.52,11.52,0.0,14.1,50.0,324.0,0.0,14.22,500.36
"Alanine",14.94,0,0.10632,0.0,0.03572,0.5375,0.342,0.0,0.7394399999999999,16.700979999999998
"Fatty acids, total trans",0,0.0,0,0,0,0,0,0,0,0.0
