"Ingredient ID",5010,4053,11117,20445,2012,9160,11819,2028,1256
"Ingredient Description","Chicken, broilers or fryers, meat and skin, cooked, stewed","Oil, olive, salad or cooking","Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt","Rice, white, long-grain, regular, cooked, unenriched, without salt","Spices, coriander leaf, dried","Lime juice, raw","Peppers, hot chili, red, raw","Spices, paprika","Yogurt, Greek, plain, nonfat"
"Portion size","100g","tablespoon","cup, shredded","cup","100g","lime yields","pepper","tsp","100g"
"Quantity",18.5,1,1,3,0.5,1,2,0.25,2.45
"18:2 n-6 c,c",0,0,0,0,0,0,0,0,0.0245,0.0245
"8:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009800000000000001,0.009800000000000001
"15:0",0,0,0,0,0,0,0,0.0,0.007350000000000001,0.007350000000000001
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"15:1",0,0,0,0,0,0,0,0.0,0.0,0.0
"Folate, food",92.5,0.0,69.7,14.22,137.0,4.4,20.7,0.28174999999999994,17.150000000000002,355.9517499999999
"18:3 undifferentiated",2.035,0.102735,0.06970000000000001,0.06162,0.0,0.0035199999999999997,0.009899999999999999,0.0026047500000000003,0.0024500000000000004,2.2875297500000005
"22:1 t",0,0,0,0,0,0,0,0,0.0,0.0
"Carbohydrate, by difference",0.0,0.0,3.0260000000000002,133.5258,26.05,3.7048,7.929000000000001,0.31044249999999995,8.82,183.36604250000002
"Serine",16.095,0.0,0.085,0.6683399999999999,0,0.0154,0.07200000000000001,0.0035074999999999993,0,16.9392475
"20:3 n-6",0,0,0,0,0,0,0,0,0.0,0.0
"20:3 n-3",0,0,0,0,0,0,0,0,0.0,0.0
"Glutamic acid",66.785,0.0,0.6358,2.48376,0,0.029480000000000003,0.2376,0.012995,0,70.18463500000001
"Sodium, Na",1239.5,0.27,57.8,4.74,105.5,0.88,8.1,0.39099999999999996,88.2,1505.381
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phosphorus, P",2571.5,0.0,49.3,203.82,240.5,6.16,38.7,1.8054999999999999,330.75,3442.5355
"Tocotrienol, gamma",0,0,0,0,0,0.0,0,0.0005175,0.0,0.0005175
"Histidine",13.431,0.0,0.045899999999999996,0.29862,0,0.0008799999999999999,0.0369,0.0014375,0,13.814737499999998
"4:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:0",13.135,0.26365500000000003,0.0017000000000000001,0.023700000000000002,0.0025,0.0,0.0063,0.00193775,0.05145000000000002,13.486242749999999
"Theobromine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dihydrophylloquinone",0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0
"Vitamin E (alpha-tocopherol)",4.995,1.93725,0.153,0.18960000000000002,0.515,0.0968,0.621,0.16732499999999997,0.0245,8.699475
"Lutein + zeaxanthin",0.0,0.0,64.6,0.0,1214.0,0.0,638.1,108.928,0.0,2025.6279999999997
"22:1 c",0,0,0,0,0,0,0,0,0.0,0.0
"Betaine",90.65,0.013500000000000002,0.34,0,0,0.08800000000000001,0,0.04082499999999999,1.9600000000000002,93.09232499999999
"Riboflavin",2.738,0.0,0.10710000000000001,0.06162,0.75,0.006599999999999999,0.0774,0.007072499999999999,0.6811000000000001,4.4288925
"Sucrose",0,0,0,0,0,0.21119999999999997,0,0.0046575,0.0,0.21585749999999998
"Maltose",0,0,0,0,0,0.0,0,0.0,0.0,0.0
"Cholesterol",1443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,1455.25
"Vitamin D2 (ergocalciferol)",0,0,0,0,0,0,0,0,0.0,0.0
"Folate, total",92.5,0.0,69.7,14.22,137.0,4.4,20.7,0.28174999999999994,17.150000000000002,355.9517499999999
"Alanine",26.566,0.0,0.153,0.7394399999999999,0,0.01056,0.0738,0.00368,0,27.546479999999995
"16:1 t",0,0,0,0,0,0,0,0,0.0,0.0
"Fatty acids, total trans",0,0,0,0,0,0,0,0.0,0.014700000000000001,0.014700000000000001
"Phenylalanine",17.7415,0.0,0.0782,0.6825599999999998,0,0.00484,0.0558,0.0035074999999999993,0,18.5664075
"Isoleucine",22.8105,0.0,0.1513,0.54984,0,0.0008799999999999999,0.0585,0.003277499999999999,0,23.574297499999997
"16:1 c",0,0,0,0,0,0,0,0,0.004900000000000001,0.004900000000000001
"Niacin",103.48899999999999,0.0,0.7276,1.8960000000000001,5.3535,0.062479999999999994,1.1196,0.057844999999999994,0.5096,113.21562499999999
"18:2 CLAs",0,0,0,0,0,0,0,0,0.0,0.0
"Thiamin",0.851,0.0,0.054400000000000004,0.09480000000000001,0.626,0.011000000000000001,0.0648,0.0018975,0.056350000000000004,1.7602474999999997
"20:1",2.2199999999999998,0.041985,0.0,0.0,0.0,0.0,0.0,0.00013225,0.004900000000000001,2.26701725
"Selenium, Se",333.0,0.0,0.68,35.55,14.65,0.044000000000000004,0.45,0.03622499999999999,23.765,408.17522499999995
"Leucine",33.2445,0.0,0.15469999999999998,1.05228,0,0.007039999999999999,0.09449999999999999,0.00529,0,34.558310000000006
"Vitamin E, added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sugars, total",0.0,0.0,1.411,0.23700000000000002,3.635,0.7436,4.77,0.059454999999999994,7.9380000000000015,18.794055
"Cystine",6.0865,0.0,0.028900000000000002,0.2607,0,0.0008799999999999999,0.0342,0.0013225,0,6.4125025
"Tyrosine",14.726,0.0,0.051,0.42660000000000003,0,0.0008799999999999999,0.0378,0.002185,0,15.244465000000003
"Vitamin C, total ascorbic acid",0.0,0.0,44.2,0.0,283.35,13.2,129.32999999999998,0.005175,0.0,470.085175
"Cryptoxanthin, beta",0.0,0.0,0.0,0.0,87.5,0.0,36.0,35.5695,0.0,159.0695
"Arginine",28.5825,0.0,0.1479,1.06176,0,0.006599999999999999,0.0864,0.0051175,0,29.8902775
"Water",1182.705,0.0,162.435,324.4056,3.65,39.9476,79.21799999999999,0.06462999999999999,208.495,2000.92083
"Valine",22.1815,0.0,0.1173,0.77736,0,0.00484,0.0756,0.0043124999999999995,0,23.160912500000006
"Threonine",18.87,0.0,0.0867,0.45504000000000006,0,0.0008799999999999999,0.06659999999999999,0.0028175,0,19.4820375
"20:2 n-6 c,c",0,0,0,0,0,0,0,0.0,0.0,0.0
"Retinol",814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,816.45
"18:1 c",0,0,0,0,0,0,0,0.00921725,0.10535,0.11456725
"Lactose",0,0,0,0,0,0.0,0,0.0,6.223000000000001,6.223000000000001
"18:1 t",0,0,0,0,0,0,0,0.0,0.014700000000000001,0.014700000000000001
"Magnesium, Mg",351.5,0.0,18.7,56.88,347.0,3.52,20.7,1.0234999999999999,26.950000000000003,826.2735
