"Ingredient ID",32010,1026,0,0,
"Ingredient Description","Pasta mix, Italian lasagna, unprepared","Cheese, mozzarella, whole milk","Bolognaise Sauce","Bechamel Sauce",
"Portion size","100g","100g","cup","cup",
"Quantity",2.5,0.75,1,1,
"Lysine",0,0.72375,0,0,0.72375
"8:0",0.05,0.19275,0,0,0.24275
"15:0",0.015,0,0,0,0.015
"Caffeine",0,0,0,0,0
"Arginine",0,0.38625,0,0,0.38625
"Folate, food",20,5.25,0,0,25.25
"18:3 undifferentiated",0.0675,0.279,0,0,0.3465
"Carbohydrate, by difference",184.425,1.6425,17.6185714286,19.3265111111,223.0125825397
"Serine",0,0.55125,0,0,0.55125
"20:3 n-6",0,0,0,0,0
"20:3 n-3",0,0,0,0,0
"Glutamic acid",0,3.3435,0,0,3.3435
"Sodium, Na",4625,470.25,520.2142857143,589.9244444444,6205.3887301587
"Vitamin B-12, added",0,0,0,0,0
"Phosphorus, P",310,265.5,319.6428571429,362.02,1257.1628571429
"Tocotrienol, gamma",0,0,0,0,0
"Histidine",0,0.38625,0,0,0.38625
"4:0",0.035,0.60375,0,0,0.63875
"Alcohol, ethyl",0,0,0,0,0
"18:0",0.165,1.8315,0,0,1.9965
"Theobromine",0,0,0,0,0
"Potassium, K",692.5,57,1133.1428571429,402.2577777778,2284.9006349206
"Vitamin E (alpha-tocopherol)",2.025,0.1425,1.6228571429,0.3567333333,4.1470904762
"Lutein + zeaxanthin",67.5,0,0,0,67.5
"22:1 c",0,0,0,0,0
"Riboflavin",1.0675,0.21225,0.3799285714,0.5257377778,2.1854163492
"Sucrose",17.075,0.0225,0,0,17.0975
"Maltose",6.675,0.06,0,0,6.735
"Cholesterol",2.5,59.25,96,77.3333333333,235.0833333333
"22:1 t",0,0,0,0,0
"Folate, total",282.5,5.25,0,0,287.75
"Alanine",0,0.53025,0,0,0.53025
"16:1 t",0.0025,0,0,0,0.0025
"Fatty acids, total trans",0.2225,0,0,0.4370666667,0.6595666667
"20:2 n-6 c,c",0,0,0,0,0
"Protein",27.25,16.6275,31.72,15.5104222222,91.1079222222
"16:1 c",0.015,0,0,0,0.015
"Niacin",13.9425,0.078,8.548,0.79376,23.36226
"Thiamin",1.75,0.0225,0.1517142857,0.1735111111,2.0977253968
"Selenium, Se",62.25,12.75,0,0,75
"Vitamin K (phylloquinone)",32.25,1.725,26.9714285714,1.2786666667,62.2250952381
"Vitamin E, added",0,0,0,0,0
"Sugars, total",28.175,0.7725,8.7764285714,0.1838,37.9077285714
"Cystine",0,0.08625,0,0,0.08625
"Tyrosine",0,0.78225,0,0,0.78225
"Vitamin C, total ascorbic acid",2.25,0,18.2357142857,3.7,24.1857142857
"Cryptoxanthin, beta",0,0,0,0,0
"15:1",0,0,0,0,0
"Water",19.85,37.5075,0,0,57.3575
"Valine",0,0.9915,0,0,0.9915
"Threonine",0,0.73725,0,0,0.73725
"18:2 CLAs",0.0075,0,0,0,0.0075
"Retinol",7.5,130.5,0,0,138
"18:1 c",0.8375,0,0,0,0.8375
"Lactose",0.925,0.0525,0,0,0.9775
"18:1 t",0.175,0,0,0,0.175
"Magnesium, Mg",92.5,15,52.2857142857,40.7022222222,200.4879365079
"Tocotrienol, beta",1.525,0,0,0,1.525
"Phenylalanine",0,0.75825,0,0,0.75825
"Isoleucine",0,0.85125,0,0,0.85125
"Glucose (dextrose)",1.5,0.42,0,0,1.92
"Folate, DFE",467.5,5.25,32.7142857143,41.8733333333,547.3376190476
"Vitamin B-12",0.475,1.71,3.1342857143,1.2793333333,6.5986190476
"Energy",890,225,360.8571428571,358.2155555556,1834.0726984127
"16:1 undifferentiated",0.0175,0.44775,0,0,0.46525
"17:0",0.01,0,0,0,0.01
"17:1",0.005,0,0,0,0.005
"Vitamin D (D2 + D3)",0,0.3,0.2428571429,0.2833333333,0.8261904762
"18:3i",0,0,0,0,0
"18:2 n-6 c,c",0.9175,0,0,0,0.9175
"16:0",0.6025,3.99825,0,0,4.60075
"10:0",0.07,0.4365,0,0,0.5065
"Vitamin D3 (cholecalciferol)",0,0.3,0,0,0.3
"Vitamin B-6",0.4,0.02775,0.667,0.1147711111,1.2095211111
"Methionine",0,0.38625,0,0,0.38625
"Tocopherol, gamma",0.8,0,0,0,0.8
"Carotene, beta",195,42.75,0,0,237.75
"14:1",0.0075,0,0,0,0.0075
"14:0",0.09,1.64175,0,0,1.73175
"Pantothenic acid",1.5,0.10575,0,0,1.60575
"Tocopherol, beta",0.225,0,0,0,0.225
"Choline, total",24.25,11.55,0,0,35.8
"Manganese, Mn",1.455,0.0225,0,0,1.4775
"18:3 n-3 c,c,c (ALA)",0.0675,0,0,0,0.0675
"Fatty acids, total trans-polyenoic",0.0425,0,0,0,0.0425
"Lycopene",835,0,0,0,835
"Fructose",2,0.1125,0,0,2.1125
"Aspartic acid",0,1.22475,0,0,1.22475
"Vitamin A, IU",352.5,507,1724.1428571429,814.3666666667,3398.0095238095
"Leucine",0,1.3695,0,0,1.3695
"22:6 n-3 (DHA)",0,0,0,0,0
"Vitamin A, RAE",25,134.25,93.4285714286,210.3666666667,463.0452380952
"Fatty acids, total trans-monoenoic",0.1775,0,0,0,0.1775
"18:2 t not further defined",0.0425,0,0,0,0.0425
"Tryptophan",0,0.38625,0,0,0.38625
"20:5 n-3 (EPA)",0,0,0,0,0
"22:1 undifferentiated",0,0,0,0,0
"18:3 n-6 c,c,c",0,0,0,0,0
"Folic acid",262.5,0,0,0,262.5
"20:0",0.01,0,0,0,0.01
"20:1",0.015,0,0,0,0.015
"Fatty acids, total polyunsaturated",1.0375,0.57375,0.9402142857,0.9726977778,3.5241620635
"6:0",0.02,0.3345,0,0,0.3545
"Tocotrienol, alpha",0.15,0,0,0,0.15
"12:0",0.0325,0.5175,0,0,0.55
"18:4",0,0,0,0,0
"24:1 c",0,0,0,0,0
"Iron, Fe",7.175,0.33,4.5078571429,0.7171555556,12.7300126984
"Proline",0,1.76325,0,0,1.76325
"Calcium, Ca",130,378.75,84.9285714286,479.5222222222,1073.2007936508
"24:0",0.005,0,0,0,0.005
"Tocopherol, delta",0.15,0,0,0,0.15
"18:2 undifferentiated",0.97,0.29475,0,0,1.26475
"Starch",134.75,0,0,0,134.75
"Fiber, total dietary",7,0,2.3785714286,0.258,9.6365714286
"Fatty acids, total monounsaturated",1.0575,4.92975,8.8467142857,6.7859466667,21.6199109524
"22:4",0,0,0,0,0
"22:0",0.0075,0,0,0,0.0075
"Copper, Cu",0.385,0.00825,0,0,0.39325
"Ash",13.525,2.46,0,0,15.985
"Dihydrophylloquinone",0,0,0,0,0
"Galactose",0,0.1125,0,0,0.1125
"20:4 undifferentiated",0.0025,0,0,0,0.0025
"20:3 undifferentiated",0,0,0,0,0
"Carotene, alpha",2.5,0,0,0,2.5
"Vitamin D",0,12,9.5714285714,11.5,33.0714285714
"18:1 undifferentiated",1.0125,4.23675,0,0,5.24925
"Glycine",0,0.38625,0,0,0.38625
"Fatty acids, total saturated",1.1075,9.864,6.7857857143,15.3053777778,33.0626634921
"Tocotrienol, delta",0,0,0,0,0
"Total lipid (fat)",4.925,16.7625,19.0385714286,24.6066444444,65.332715873
"22:5 n-3 (DPA)",0,0,0,0,0
"Zinc, Zn",2.1,2.19,7.6085714286,1.6544444444,13.553015873
