"Ingredient ID",11283,11660,16033,2043,2009,2013,2014,4513
"Ingredient Description","Onions, cooked, boiled, drained, without salt","Tomatoes, red, ripe, cooked, stewed","Beans, kidney, red, mature seeds, cooked, boiled, without salt","Spices, turmeric, ground","Spices, chili powder","Spices, coriander seed","Spices, cumin seed","Vegetable oil, palm kernel"
"Portion size","cup","cup","cup","tsp","tsp","tsp","tsp, whole","tablespoon"
"Quantity",1,1,0.5,0.25,1,1,1,1.5
"8:0",0.0,0.0,0.0,2.25e-05,0.0,0,0.0,0.6731999999999999,0.6732225
"15:0",0,0,0,0.0,0.0,0,0,0,0.0
"Caffeine",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
"15:1",0,0,0,0.0,0.0,0,0,0,0.0
"Folate, food",31.5,11.11,115.05,0.15,0.7560000000000001,0.0,0.21,0.0,158.776
"18:3 undifferentiated",0.0084,0.03838,0.14868,0.00063,0.014391000000000003,0,0.0036959999999999996,0.0,0.214177
"Carbohydrate, by difference",21.315,13.180500000000002,20.178,0.50355,1.3419000000000003,0.98982,0.9290400000000001,0.0,58.437810000000006
"Serine",0.084,0.07777,0.41772,0.0021000000000000003,0.006210000000000001,0,0,0.0,0.5878000000000001
"Glutamic acid",0.462,0.64943,1.170855,0.00855,0.04293,0,0,0.0,2.333765
"Sodium, Na",6.3,459.55,1.77,0.2025,108.0,0.63,3.528,0.0,579.9805
"Vitamin B-12, added",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Phosphorus, P",73.5,38.38,125.67,2.2425,8.1,7.362,10.479000000000001,0.0,265.7335
"Tocotrienol, gamma",0,0,0,0.00037500000000000006,0.07695000000000002,0,0,0,0.07732500000000002
"Histidine",0.0462,0.036359999999999996,0.21416999999999997,0.001125,0.00486,0,0,0.0,0.3027149999999999
"4:0",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
"18:0",0.0042,0.18786000000000003,0.0070799999999999995,2.25e-05,0.010692000000000002,0.00198,0.0072239999999999995,0.5711999999999999,0.7902585
"Theobromine",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Potassium, K",348.6,249.47,356.655,15.6,52.65,22.805999999999997,37.548,0.0,1083.329
"Vitamin E (alpha-tocopherol)",0.042,0,0.026549999999999997,0.033225,1.0297800000000001,0,0.06993,0.7772399999999999,1.978725
"Lutein + zeaxanthin",8.4,0,0.0,0.0,8.37,0,9.408000000000001,0.0,26.178
"Betaine",0,0,0,0.07275,0.0729,0,0,0,0.14565
"Riboflavin",0.0483,0.0808,0.05133,0.001125,0.02538,0.00522,0.006867000000000001,0.0,0.219022
"Sucrose",2.3100000000000005,0,0,0.017849999999999998,0.02052,0,0,0,2.3483700000000005
"Maltose",0.0,0,0,0.0,0.0,0,0,0,0.0
"Cholesterol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
