"Ingredient ID",16086,11283,11215,2043,2028,11660,4513
"Ingredient Description","Peas, split, mature seeds, cooked, boiled, without salt","Onions, cooked, boiled, drained, without salt","Garlic, raw","Spices, turmeric, ground","Spices, paprika","Tomatoes, red, ripe, cooked, stewed","Vegetable oil, palm kernel"
"Portion size","cup","medium","clove","tsp","tsp","recipe yield","tablespoon"
"Quantity",1,1,2,0.5,0.5,1,0.666667
"8:0",0.0,0.0,0.0,4.5e-05,0.0,0.0,0.29920014959999996,0.2992451496
"15:0",0,0,0,0.0,0.0,0,0,0.0
"Caffeine",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"15:1",0,0,0,0.0,0.0,0,0,0.0
"Folate, food",127.4,14.1,0.18,0.3,0.5634999999999999,66.44,0.0,208.98350000000002
"18:3 undifferentiated",0.054880000000000005,0.00376,0.0012,0.00126,0.005209500000000001,0.22951999999999997,0.0,0.29582949999999997
"Carbohydrate, by difference",41.356,9.541,1.9836,1.0071,0.6208849999999999,78.822,0.0,133.330585
"Serine",0.7193200000000001,0.0376,0.0114,0.004200000000000001,0.007014999999999999,0.46508000000000005,0.0,1.244615
"Glutamic acid",2.7949599999999997,0.20679999999999998,0.0483,0.0171,0.02599,3.8837200000000003,0.0,6.97687
"Sodium, Na",3.92,2.82,1.02,0.405,0.7819999999999999,2748.2,0.0,2757.147
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Phosphorus, P",194.04,32.9,9.18,4.485,3.6109999999999998,229.52,0.0,473.736
"Tocotrienol, gamma",0,0,0,0.0007500000000000001,0.001035,0,0,0.0017850000000000001
"Histidine",0.39788,0.02068,0.0067800000000000004,0.00225,0.002875,0.21744,0.0,0.647905
"4:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:0",0.0196,0.00188,0.0,4.5e-05,0.0038755,1.12344,0.2538667936,1.4027072935999998
"Theobromine",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Potassium, K",709.52,156.04,24.06,31.2,26.22,1491.88,0.0,2438.92
"Vitamin E (alpha-tocopherol)",0.0588,0.0188,0.0048,0.06645,0.33464999999999995,0,0.34544017272,0.8289401727199999
"Lutein + zeaxanthin",0.0,3.76,0.96,0.0,217.856,0,0.0,222.576
"Betaine",0,0,0,0.1455,0.08164999999999999,0,0,0.22714999999999996
"Riboflavin",0.10976000000000001,0.02162,0.0066,0.00225,0.014144999999999998,0.4832,0.0,0.637575
"Sucrose",0,1.034,0,0.035699999999999996,0.009315,0,0,1.079015
"Maltose",0,0.0,0,0.0,0.0,0,0,0.0
"Cholesterol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Folate, total",127.4,14.1,0.18,0.3,0.5634999999999999,66.44,0.0,208.98350000000002
"Alanine",0.7193200000000001,0.03572,0.00792,0.0049499999999999995,0.00736,0.38051999999999997,0.0,1.15579
"Fatty acids, total trans",0,0,0,0.00084,0.0,0,0,0.00084
"Phenylalanine",0.75264,0.032900000000000006,0.010979999999999998,0.00795,0.007014999999999999,0.45299999999999996,0.0,1.264485
"Isoleucine",0.67424,0.04512000000000001,0.01302,0.00705,0.006554999999999998,0.38656,0.0,1.132545
"Niacin",1.7444,0.15510000000000002,0.041999999999999996,0.020250000000000004,0.11568999999999999,6.704400000000001,0.0,8.78184
"Thiamin",0.3724,0.03948,0.012000000000000002,0.0008700000000000001,0.003795,0.65232,0.0,1.080865
"Selenium, Se",1.176,0.564,0.8519999999999999,0.09300000000000001,0.07244999999999999,7.247999999999999,0.0,10.00545
"Leucine",1.17208,0.04512000000000001,0.01848,0.012150000000000001,0.01058,0.64024,0.0,1.8986500000000004
"Vitamin E, added",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Sugars, total",5.684,4.446200000000001,0.06,0.04815,0.11890999999999999,0,0.0,10.357260000000002
"Cystine",0.24892,0.022560000000000004,0.0039000000000000003,0.00225,0.002645,0.17516,0.0,0.45543500000000003
"Tyrosine",0.47432,0.03196,0.00486,0.0048,0.00437,0.24764,0.0,0.76795
"Vitamin C, total ascorbic acid",0.784,4.888,1.8719999999999999,0.010499999999999999,0.01035,109.928,0.0,117.49285
"Cryptoxanthin, beta",0.0,0.0,0.0,0.0,71.139,0,0.0,71.139
"Arginine",1.4582400000000002,0.17201999999999998,0.038040000000000004,0.008100000000000001,0.010235,0.40468000000000004,0.0,2.0913150000000003
"Water",136.2004,82.58840000000001,3.5148,0.19274999999999998,0.12925999999999999,487.00519999999995,0.0,709.6308099999999
"Valine",0.77224,0.029140000000000003,0.01746,0.009899999999999999,0.008624999999999999,0.45299999999999996,0.0,1.290365
"Threonine",0.58016,0.031020000000000002,0.00942,0.0049499999999999995,0.005635,0.32616,0.0,0.957345
"20:2 n-6 c,c",0,0,0,0.0,0.0,0,0,0.0
"Retinol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:1 c",0,0,0,0.001125,0.0184345,0,0,0.0195595
"Lactose",0,0.0,0,0.0,0.0,0,0,0.0
"18:1 t",0,0,0,0.00084,0.0,0,0,0.00084
"Magnesium, Mg",70.56,10.34,1.5,3.12,2.0469999999999997,90.6,0.0,178.167
"Vitamin D",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Protein",16.3464,1.2784,0.38160000000000005,0.1452,0.16261,11.8384,0.0,30.15261
"Aspartic acid",1.9286400000000001,0.06956,0.02934,0.0279,0.032775,1.05096,0.0,3.139175
"Folate, DFE",127.4,14.1,0.18,0.3,0.5634999999999999,66.44,0.0,208.98350000000002
"Vitamin B-12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Energy",231.28,41.36,8.94,4.68,3.2429999999999994,477.16,78.154705744,844.817705744
"16:1 undifferentiated",0.0,0.0,0.0,0.0,0.0007935,0.01208,0.0,0.012873500000000001
"17:0",0,0,0,0.005025000000000001,0.0,0,0,0.005025000000000001
"17:1",0,0,0,0.00246,0.0,0,0,0.00246
"Vitamin D (D2 + D3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"13:0",0,0,0,0.0,0.0,0,0,0.0
"Lysine",1.1799199999999999,0.0611,0.016380000000000002,0.0057,0.007935,0.37448,0.0,1.6455149999999998
"16:0",0.08232,0.02632,0.00522,0.002325,0.016881999999999998,1.9750800000000002,0.7344003671999999,2.8425473672
"10:0",0.0,0.0,0.00012,0.01272,0.0,0.0,0.3354668344,0.34830683440000004
"Vitamin B-6",0.09408,0.12126,0.0741,0.001605,0.024621499999999998,0.5194399999999999,0.0,0.8351065
"Methionine",0.1666,0.01034,0.00456,0.0021000000000000003,0.0023,0.14496,0.0,0.33086
"Tocopherol, gamma",0,0.0,0,0.0108,0.040709999999999996,0,0,0.05151
"Carotene, beta",7.84,0.94,0.3,0.0,300.863,0,0.0,309.943
"14:1",0,0,0,0.00231,0.0,0,0,0.00231
"14:0",0.00196,0.00094,0.0,0.0059099999999999995,0.0019779999999999997,0.04228,1.4869340768,1.5400020767999998
"Pantothenic acid",1.1662,0.10622,0.03575999999999999,0.00813,0.028864999999999995,1.54624,0.0,2.891415
"Tocopherol, beta",0,0.0,0,0.00015,0.004025,0,0,0.004175
"Choline, total",64.288,6.3919999999999995,1.392,0.7380000000000001,0.5922499999999999,0,0.018133342400000002,73.42038334239999
