Name,Image,URL
Batter Fried Fish,http://www.taste.com.au/images/recipes/mc/2010/08/24621_l.jpg,http://www.taste.com.au/recipes/24621/fish+and+chips+with+tartare+sauce
Chicken Tikka Masala,http://whattocookfordinnertonight.com/wp-content/uploads/2013/03/Chicken-Dopiaza-1024x680.jpg,http://www.myrecipes.com/recipe/chicken-tikka-masala-224587/
Lasagne Bolognaise,http://www.taste.com.au/images/recipes/sfi/2006/08/608_l.jpg,http://www.taste.com.au/recipes/608/lasagne+bolognaise
Baked Chicken,http://www.taste.com.au/images/recipes/sfi/2003/09/8971_l.jpg,http://www.taste.com.au/recipes/8971/slow+baked+chicken+pieces
Chili Cauliflower & Broccoli,http://2.bp.blogspot.com/__HgXpx5ScFw/TLymK-Gcs2I/AAAAAAAAAdg/suSwkmNHYSM/s1600/Chilli%2BGobi.jpg,http://kurryleaves.blogspot.com/2013/04/chilli-gobi-chilli-cauliflower.html
Chana Masala,http://vegetarianmamma.com/wp-content/uploads/2013/01/chana-masala-with-corn-gluten-free-vegetarianmamma.com_.jpg,http://www.taste.com.au/recipes/27331/chana+masala+with+tomato+and+coriander+salad
Chicken Satay,http://www.taste.com.au/images/recipes/sfi/2005/04/9911_l.jpg,http://www.taste.com.au/recipes/9911/satay+chicken
Mulligatawny,http://2.bp.blogspot.com/_z9-3vbp-U7w/TSdKzY6rPJI/AAAAAAAAAFw/KKy_HyyYcjw/s1600/Mulligatawny%2BSoup.JPG,http://www.taste.com.au/recipes/27438/mulligatawny+soup
Beef Stir Fry,http://areebaskitchen.files.wordpress.com/2011/09/spicy-beef-stir-fry.jpg,http://www.taste.com.au/recipes/9190/beef+and+mushroom+stir+fry
Traditional Roast Chicken,http://3.bp.blogspot.com/-ORpJnJn8m6o/UWDGWX_7k-I/AAAAAAAACP8/_yHXwzI2jBs/s1600/Roast%2BChicken%2BSliced.jpg,http://www.taste.com.au/recipes/28800/traditional+french+roast+chicken
Chili Chicken,http://www.spiceindiaonline.com/files/images/Chilli%20Chicken%20(Restaurant%20Style)%2012.preview.JPG,http://www.taste.com.au/recipes/17238/coriander+chilli+chicken
Rajma Masala,http://4.bp.blogspot.com/_4nqbL5FeVpc/TLiz0RvovwI/AAAAAAAAAOg/b9SVnMGd2X8/s1600/DSC_0386.JPG,http://www.padhuskitchen.com/2013/10/rajma-masala-recipe-punjabi-rajma.html
Quesadillas (Chicken),http://www.tacobell.com/static_files/TacoBell/StaticAssets/images/menuItems/pdp/pdp_chicken_quesadilla.png,http://www.taste.com.au/recipes/24028/chicken+quesadilla+with+guacamole
Yellow Dal Fry,http://onelifetoeat.files.wordpress.com/2009/03/bowl-of-yellow-daal.jpg,http://www.halfhourmeals.com/recipe/-daal-
