"Ingredient ID",4513,11215,11283,11510,11125,16359,12116,9322,11303,11530,11282,11165,9152,28306,1001
"Ingredient Description","Vegetable oil, palm kernel","Garlic, raw","Onions, cooked, boiled, drained, without salt","Sweet potato, cooked, boiled, without skin","Carrots, cooked, boiled, drained, without salt","Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water","Nuts, coconut cream, canned, sweetened","Tamarinds, raw","Peas, edible-podded, frozen, cooked, boiled, drained, without salt","Tomatoes, red, ripe, cooked","Onions, raw","Coriander (cilantro) leaves, raw","Lemon juice, raw","Bread, chapati or roti, plain, commercially prepared","Butter, salted"
"Portion size","cup","clove","medium","medium","carrot","100g","cup","cup, pulp","cup","medium","medium (2-1/2"" dia)","cup","lemon yields","piece","tbsp"
"Quantity",0.25,2,1,2,2,4,1.69070114,0.0208333,0.5,1,1,0.5,1,6,2
"18:2 n-6 c,c",0,0,0,0,0,0,0,0,0,0,0,0,0.00576,4.092239999999999,0.6151439999999999,4.713144
"8:0",1.7985,0.0,0.0,0.0,0.0,0.0,7.0513058025296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33796,9.1877658025296
"15:0",0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.00048,0.0204,0,0.020880000000000003
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"15:1",0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0
"Folate, food",0.0,0.18,14.1,18.12,12.88,164.0,70.0626552416,0.34999944,28.0,31.98,20.9,1.24,9.6,248.88,0.8519999999999999,621.1446546816
"18:3 undifferentiated",0.0,0.0012,0.00376,0.0,0.00092,0.144,0.0,0.0,0.02,0.00492,0.0044,0.0,0.004319999999999999,0.53856,0.08946,0.81154
"Carbohydrate, by difference",0.0,1.9836,9.541,53.514399999999995,7.5624,91.48,266.288134671824,1.5624974999999999,7.215999999999999,9.8646,10.274000000000001,0.07339999999999999,3.3120000000000003,189.14879999999997,0.01704,651.837872171824
"Serine",0.0,0.0114,0.0376,0.23254000000000002,0.04048,1.4240000000000002,0.3052729978384,0,0.12560000000000002,0.06888,0.0231,0,0,0,0.013064,2.2819369978384
"20:3 n-6",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
"20:3 n-3",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
"22:4",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
"Glutamic acid",0.0,0.0483,0.20679999999999998,0.4077,0.27692,4.956,1.3411994003392003,0,0.44800000000000006,0.96678,0.28380000000000005,0,0,0,0.05055199999999999,8.9860514003392
"Sodium, Na",0.0,1.02,2.82,81.54,53.36,848.0,180.1611134784,0.69999888,4.0,27.06,4.4,0.92,0.48,1668.72,182.612,3055.7931123584003
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Phosphorus, P",0.0,9.18,32.9,96.64,27.6,320.0,110.0984582368,2.82499548,46.4,68.88,31.9,0.96,3.84,750.72,6.815999999999999,1508.7594537168
"Tocotrienol, gamma",0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,2.7744,0.0,2.7744
