"Ingredient ID",5013,11458,1019,1009,9037,9160,18450
"Ingredient Description","Chicken, broilers or fryers, meat only, roasted","Spinach, cooked, boiled, drained, without salt","Cheese, feta","Cheese, cheddar","Avocados, raw, all commercial varieties","Lime juice, raw","Tortillas, ready-to-bake or -fry, flour, without added calcium"
"Portion size","100g","100g","100g","100g","avocado, NS as to Florida or California","cup","tortilla, medium (approx 6"" dia)"
"Quantity",1,0.2,0.25,0.2,0.5,0.0416667,2
"8:0",0.0,0.0,0.1365,0.05580000000000001,0.001005,0.0,0.0,0.19330500000000003
"15:0",0,0,0,0,0.0,0,0,0.0
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"15:1",0,0,0,0,0.0,0,0,0.0
"Folate, food",6.0,29.200000000000003,8.0,3.6,81.405,1.00833414,7.68,136.89333414
"18:3 undifferentiated",0.07,0.0184,0.06625,0.073,0.125625,0.0008066673119999999,0.03456,0.388641667312
"Carbohydrate, by difference",0.0,0.75,1.0225,0.256,8.57265,0.8490173458800001,35.584,47.03416734588001
"Serine",0.995,0.021400000000000002,0.29225,0.2912,0.11457,0.00352916949,0.27648,1.99442916949
"Glutamic acid",4.333,0.0714,0.60525,1.2184,0.288435,0.006755838738000001,1.824,8.347240838738
"Sodium, Na",86.0,14.0,229.25,124.2,7.035,0.201666828,305.92,766.606666828
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"Phosphorus, P",195.0,11.2,84.25,102.4,52.26,1.4116677960000001,79.36,525.881667796
"Tocotrienol, gamma",0,0,0,0,0.0,0.0,0,0.0
"Fluoride, F",0,7.56,0,6.98,7.035,0,0,21.575
"Histidine",0.898,0.0132,0.09925,0.1748,0.049245000000000004,0.00020166682799999997,0.12480000000000001,1.3594966668280002
"4:0",0.0,0.0,0.19375,0.20920000000000002,0.0,0.0,0.0,0.40295000000000003
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:0",0.49,0.0006000000000000001,0.37200000000000005,0.8014,0.049245000000000004,0.0,0.49664,2.2098850000000003
"Theobromine",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"Dihydrophylloquinone",0.0,0,0,0.0,0.0,0.0,0,0.0
"Vitamin E (alpha-tocopherol)",0.27,0.41600000000000004,0.045,0.057999999999999996,2.08035,0.022183351079999997,0,2.89153335108
"Lutein + zeaxanthin",0.0,2261.6,0.0,0.0,272.355,0.0,0,2533.955
"Betaine",5.7,17.8,0,0.13999999999999999,0.7034999999999999,0.0201666828,0,24.363666682799998
"Riboflavin",0.17800000000000002,0.0472,0.21099999999999997,0.07500000000000001,0.13065000000000002,0.0015125012099999999,0.18752,0.8308825012100001
"Sucrose",0,0,0,0.048,0.06029999999999999,0.048400038719999997,0,0.15670003872
"Maltose",0,0,0,0.03,0.0,0.0,0,0.03
"Cholesterol",89.0,0.0,22.25,21.0,0.0,0.0,0.0,132.25
"Folate, total",6.0,29.200000000000003,8.0,3.6,81.405,1.00833414,78.72,207.93333414
"Alanine",1.578,0.0294,0.15975,0.1406,0.10954499999999999,0.0024200019360000003,0.18495999999999999,2.204675001936
"Phenylalanine",1.148,0.026800000000000004,0.16875,0.2622,0.097485,0.001109167554,0.2784,1.9827441675539998
"Isoleucine",1.528,0.0304,0.20075000000000004,0.30920000000000003,0.08442,0.00020166682799999997,0.19648,2.349451666828
"Niacin",9.173,0.098,0.24775,0.016,1.74669,0.014318344787999999,2.28608,13.581838344788
"Thiamin",0.069,0.019000000000000003,0.0385,0.0054,0.067335,0.00252083535,0.33984000000000003,0.54159583535
"20:1",0.04,0.0,0.0,0.0,0.025125,0.0,0.0,0.065125
"Selenium, Se",22.0,0.30000000000000004,3.75,2.78,0.402,0.0100833414,14.975999999999999,44.2180833414
"Leucine",2.171,0.0462,0.34875,0.477,0.14371499999999998,0.0016133346239999998,0.384,3.572278334623999
"Vitamin E, added",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"Sugars, total",0.0,0.08600000000000002,1.0225,0.10400000000000001,0.6633,0.17040846966,0,2.0462084696600003
"Cystine",0.37,0.007000000000000001,0.02075,0.025,0.027135,0.00020166682799999997,0.11584,0.5659266668280001
"Tyrosine",0.977,0.022600000000000002,0.16699999999999998,0.2404,0.049245000000000004,0.00020166682799999997,0.17024,1.6266866668279998
"Vitamin C, total ascorbic acid",0.0,1.9600000000000002,0.0,0.0,10.05,3.0250024200000003,0.0,15.035002420000001
"Cryptoxanthin, beta",0.0,0.0,0.0,0.0,28.14,0.0,0,28.14
"Arginine",1.745,0.033600000000000005,0.1175,0.1882,0.08843999999999999,0.0015125012099999999,0.22784,2.4020925012100003
"Water",63.79,18.242,13.805,7.35,73.59615000000001,9.15466565706,17.152,203.08981565706
"Valine",1.435,0.033600000000000005,0.26625,0.3326,0.10753499999999999,0.001109167554,0.22784,2.403934167554
"Threonine",1.222,0.0254,0.15925,0.17720000000000002,0.07336499999999999,0.00020166682799999997,0.1568,1.814216666828
"20:2 n-6 c,c",0,0,0,0,0.0,0,0,0.0
"Retinol",16.0,0.0,31.25,51.6,0.0,0.0,0.0,98.85
"Lactose",0,0,0,0.046000000000000006,0.0,0.0,0,0.046000000000000006
"Magnesium, Mg",25.0,17.400000000000002,4.75,5.6,29.145,0.806667312,16.64,99.34166731200001
"Campesterol",0,0,0,0,5.025,0,0,5.025
"Vitamin D",5.0,0.0,4.0,4.800000000000001,0.0,0.0,0,13.8
"Protein",28.93,0.5940000000000001,3.5525,4.98,2.01,0.04235003388,5.568,45.676850033879994
"Aspartic acid",2.5780000000000003,0.05,0.19475,0.32000000000000006,0.23718,0.011495009196000001,0.24704,3.6384650091960005
"6:0",0.0,0.0,0.14325,0.1058,0.0,0.0,0.0,0.24905
"Vitamin B-12",0.33,0.0,0.4225,0.166,0.0,0.0,0.0,0.9185
"Energy",190.0,4.6000000000000005,66.0,80.60000000000001,160.8,2.52083535,208.0,712.5208353500001
