"Ingredient ID",4513,11283,5014,11478,11546,6172,20445
"Ingredient Description","Vegetable oil, palm kernel","Onions, cooked, boiled, drained, without salt","Chicken, broilers or fryers, meat only, stewed","Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt","Tomato products, canned, paste, without salt added","Soup, stock, chicken, home-prepared","Rice, white, long-grain, regular, cooked, unenriched, without salt"
"Portion size","tablespoon","large","100g","100g","tbsp","cup","cup"
"Quantity",2,2,5,6,2,3,0.33
"8:0",0.8976,0.0,0.0,0.0,0.0,0.0,0.0,0.8976
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Folate, food",0.0,38.4,30.0,168.0,3.84,36.0,1.5641999999999998,277.80420000000004
"18:3 undifferentiated",0.0,0.01024,0.3,0.5640000000000001,0.0022400000000000002,0.06479999999999998,0.006778200000000001,0.9480582000000001
"Carbohydrate, by difference",0.0,25.984,0.0,16.14,6.0512,25.416,14.687838000000001,88.279038
"Serine",0.0,0.1024,4.694999999999999,0.156,0.04032,0,0.0735174,5.0672374
"Glutamic acid",0.0,0.5632,20.435,0.40800000000000003,0.6751999999999999,0,0.2732136,22.354613599999997
"Sodium, Na",0.0,7.68,350.0,18.0,18.88,1029.6,0.5214,1424.6814
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phosphorus, P",0.0,89.6,750.0,222.0,26.56,194.4,22.4202,1304.9802
"Histidine",0.0,0.056319999999999995,4.234999999999999,0.084,0.022719999999999997,0,0.0328482,4.430888199999999
"4:0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcohol, ethyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:0",0.7615999999999999,0.00512,2.2,0.042,0.00512,0.4032,0.0026070000000000004,3.4196469999999994
"Theobromine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Potassium, K",0.0,424.96,900.0,1584.0,324.48,756.0,18.249000000000002,4007.689
"Vitamin E (alpha-tocopherol)",1.0363200000000001,0.0512,1.35,0.72,1.376,0.21599999999999997,0.020856000000000003,4.770376
"Lutein + zeaxanthin",0.0,10.24,0.0,6900.0,0.0,7.2,0.0,6917.44
"Betaine",0,0,26.5,1.7999999999999998,0.128,0,0,28.428
"Riboflavin",0.0,0.05888,0.815,0.14400000000000002,0.04896,0.612,0.006778200000000001,1.6856181999999997
"Sucrose",0,2.8160000000000003,0,0,0.096,0,0,2.9120000000000004
"Maltose",0,0.0,0,0,0.08960000000000001,0,0,0.08960000000000001
"Cholesterol",0.0,0.0,415.0,0.0,0.0,21.6,0.0,436.6
"Folate, total",0.0,38.4,30.0,168.0,3.84,36.0,1.5641999999999998,277.80420000000004
"Alanine",0.0,0.09727999999999999,7.445,0.198,0.04256,0,0.0813384,7.8641784
"Phenylalanine",0.0,0.08960000000000001,5.415,0.132,0.0416,0,0.0750816,5.753281599999999
"Isoleucine",0.0,0.12288,7.205,0.138,0.02848,0,0.0604824,7.5548424
"Niacin",0.0,0.4224,30.585,3.06,0.98432,11.404800000000002,0.20856000000000002,46.665079999999996
"Thiamin",0.0,0.10752,0.245,0.21000000000000005,0.0192,0.252,0.010428000000000002,0.844148
"Selenium, Se",0.0,1.536,104.5,1.2000000000000002,1.696,15.840000000000002,3.9105000000000003,128.6825
"Leucine",0.0,0.12288,10.24,0.22199999999999995,0.03968,0,0.11575080000000001,10.740310800000001
"Vitamin E, added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sugars, total",0.0,12.1088,0.0,10.26,3.8975999999999997,11.376000000000001,0.026070000000000003,37.66847
"Cystine",0.0,0.06144,1.745,0.042,0.01472,0,0.028677,1.8918370000000002
"Tyrosine",0.0,0.08704,4.605,0.10200000000000001,0.02112,0,0.046926,4.862086000000001
"Vitamin C, total ascorbic acid",0.0,13.312000000000001,0.0,77.4,7.007999999999999,1.4400000000000004,0.0,99.16
"Cryptoxanthin, beta",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine",0.0,0.46848,8.23,0.162,0.032639999999999995,0,0.1167936,9.0099136
"Water",0.0,224.9216,334.05,571.3199999999999,23.52,663.4800000000001,35.684616,1852.976216
"Valine",0.0,0.07936,6.765,0.17400000000000002,0.028159999999999998,0,0.0855096,7.1320296
"Threonine",0.0,0.08448,5.765,0.09,0.04256,0,0.0500544,6.032094399999999
"Retinol",0.0,0.0,75.0,0.0,0.0,7.2,0.0,82.2
"Lactose",0,0.0,0,0,0.0,0,0,0.0
"Magnesium, Mg",0.0,28.16,105.0,114.0,13.44,28.8,6.256799999999999,295.65680000000003
"Vitamin D",0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0
"Protein",0.0,3.4816000000000003,136.45,6.84,1.3824,18.144000000000002,1.4025660000000002,167.700566
"Aspartic acid",0.0,0.18944,12.16,0.46799999999999997,0.21152,0,0.1319142,13.1608742
"Folate, DFE",0.0,38.4,30.0,168.0,3.84,36.0,1.5641999999999998,277.80420000000004
"Vitamin B-12",0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1
"Energy",234.46399999999997,112.64,885.0,90.0,26.24,259.2,67.782,1675.326
"16:1 undifferentiated",0.0,0.0,1.6,0.0,0.00064,0.6408,0.0005214,2.2419613999999997
"Vitamin D (D2 + D3)",0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
"Lysine",0.0,0.1664,11.59,0.21000000000000005,0.04288,0,0.050575800000000004,12.059855800000001
"16:0",2.2032,0.07168000000000001,6.35,0.39,0.02656,1.8144,0.035976600000000004,10.8918166
"10:0",1.0064,0.0,0.0,0.0,0.0,0.0,0.0,1.0064
"Vitamin B-6",0.0,0.33024000000000003,1.3,0.48,0.06912,0.43920000000000003,0.048490200000000004,2.6670502
"Methionine",0.0,0.028159999999999998,3.775,0.05399999999999999,0.00864,0,0.0328482,3.8986482000000002
"Tocopherol, gamma",0,0.0,0,0,0.1664,0,0,0.1664
"Carotene, beta",0.0,2.56,0.0,4020.0,288.32,0.0,0.0,4310.88
"14:0",4.460799999999999,0.00256,0.25,0.0,0.00032,0.0576,0.0010428,4.772322799999999
"Pantothenic acid",0.0,0.28928,3.73,1.7279999999999998,0.045439999999999994,0,0.20334600000000003,5.996066
"Tocopherol, beta",0,0.0,0,0,0.0,0,0,0.0
"Choline, total",0.054400000000000004,17.408,362.0,56.400000000000006,12.32,66.24,1.0949400000000002,515.5173399999999
"Manganese, Mn",0.0,0.39168,0.095,1.0379999999999998,0.09664,0,0.2461008,1.8674207999999999
"Vitamin D3 (cholecalciferol)",0,0,0.5,0,0,0,0,0.5
"Lycopene",0.0,0.0,0.0,0.0,9204.48,0.0,0.0,9204.48
"Fructose",0,3.6864,0,0,1.8719999999999999,0,0,5.5584
"Glucose (dextrose)",0,5.6064,0,0,1.84,0,0,7.4464
"Vitamin A, IU",0.0,5.12,250.0,6702.0,488.0,21.6,0.0,7466.72
"22:6 n-3 (DHA)",0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2
"Vitamin A, RAE",0.0,0.0,75.0,336.0,24.32,7.2,0.0,442.52
"Tryptophan",0.0,0.0512,1.595,0.036000000000000004,0.00992,0,0.0161634,1.7082833999999998
"20:5 n-3 (EPA)",0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05
"22:1 undifferentiated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Folic acid",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phytosterols",25.84,46.08,0,0,0,0,0,71.92
"20:1",0.0,0.0,0.2,0.0,0.00032,0.0288,0.0,0.22912
